ILLUMINA_BioSample,CenterName,ONT_BioSample,BioSample,ILLUMINA_Run,ONT_Run
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453982,SRR29081016,SRR29081089
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453983,SRR29081015,SRR29081088
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453984,SRR29081014,SRR29081087
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453985,SRR29081013,SRR29081086
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453986,SRR29081011,SRR29081084
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453987,SRR29081005,SRR29081083
,WADSWORTH CENTER,,SAMN35560946,SRR24799299,SRR24918247
,WADSWORTH CENTER,,SAMN35560947,SRR24799288,SRR24918236
,WADSWORTH CENTER,,SAMN35560952,SRR24799276,SRR24918214
,WADSWORTH CENTER,,SAMN35560956,SRR24799271,SRR24918212
,WADSWORTH CENTER,,SAMN35560957,SRR24799270,SRR24918211
,WADSWORTH CENTER,,SAMN35560958,SRR24799269,SRR24918257
,WADSWORTH CENTER,,SAMN35560960,SRR24799267,SRR24918255
,WADSWORTH CENTER,,SAMN35560963,SRR24799264,SRR24918254
,WADSWORTH CENTER,,SAMN35560964,SRR24799263,SRR24918253
,WADSWORTH CENTER,,SAMN35560967,SRR24799259,SRR24918252
,WADSWORTH CENTER,,SAMN35560972,SRR24799254,SRR24918251
,WADSWORTH CENTER,,SAMN35560973,SRR24799253,SRR24918250
,WADSWORTH CENTER,,SAMN35560974,SRR24799252,SRR24918249
,WADSWORTH CENTER,,SAMN35560976,SRR24799249,SRR24918248
,WADSWORTH CENTER,,SAMN35560979,SRR24799246,SRR24918246
,WADSWORTH CENTER,,SAMN35560986,SRR24799238,SRR24918245
,WADSWORTH CENTER,,SAMN35560987,SRR24799237,SRR24918244
,WADSWORTH CENTER,,SAMN35560990,SRR24799234,SRR24918243
,WADSWORTH CENTER,,SAMN35560991,SRR24799233,SRR24918242
,WADSWORTH CENTER,,SAMN35560992,SRR24799232,SRR24918241
,WADSWORTH CENTER,,SAMN35560997,SRR24799226,SRR24918240
,WADSWORTH CENTER,,SAMN35561009,SRR24799213,SRR24918239
,WADSWORTH CENTER,,SAMN35561012,SRR24799210,SRR24918238
,WADSWORTH CENTER,,SAMN35561014,SRR24799208,SRR24918237
,WADSWORTH CENTER,,SAMN35561016,SRR24799205,SRR24918235
,WADSWORTH CENTER,,SAMN35561019,SRR24799202,SRR24918234
,WADSWORTH CENTER,,SAMN35561020,SRR24799201,SRR24918233
,WADSWORTH CENTER,,SAMN35561021,SRR24799200,SRR24918232
,WADSWORTH CENTER,,SAMN35561022,SRR24799199,SRR24918231
,WADSWORTH CENTER,,SAMN35561028,SRR24799192,SRR24918230
,WADSWORTH CENTER,,SAMN35561032,SRR24799188,SRR24918229
,WADSWORTH CENTER,,SAMN35561033,SRR24799187,SRR24918228
,WADSWORTH CENTER,,SAMN35561035,SRR24799185,SRR24918227
,WADSWORTH CENTER,,SAMN35561036,SRR24799298,SRR24918226
,WADSWORTH CENTER,,SAMN35561037,SRR24799297,SRR24918224
,WADSWORTH CENTER,,SAMN35561038,SRR24799296,SRR24918223
,WADSWORTH CENTER,,SAMN35561039,SRR24799295,SRR24918222
,WADSWORTH CENTER,,SAMN35561041,SRR24799293,SRR24918221
,WADSWORTH CENTER,,SAMN35561042,SRR24799292,SRR24918220
,WADSWORTH CENTER,,SAMN35561043,SRR24799291,SRR24918219
,WADSWORTH CENTER,,SAMN35561045,SRR24799289,SRR24918218
,WADSWORTH CENTER,,SAMN35561046,SRR24799287,SRR24918217
,WADSWORTH CENTER,,SAMN35561050,SRR24799283,SRR24918216
,WADSWORTH CENTER,,SAMN31020197,SRR21710917,SRR24918179
,WADSWORTH CENTER,,SAMN31020199,SRR21710938,SRR24918259
,WADSWORTH CENTER,,SAMN31023088,SRR21713549,SRR24918258
,WADSWORTH CENTER,,SAMN31037896,SRR21727735,SRR24918225
,WADSWORTH CENTER,,SAMN31037897,SRR21727724,SRR24918215
,WADSWORTH CENTER,,SAMN31038526,SRR21727886,SRR24918213
,WADSWORTH CENTER,,SAMN31062683,SRR21736377,SRR24918256
,IRCCS SAN RAFFAELE HOSPITAL,,SAMN32746372,SRR23086729,SRR23086724
,IRCCS SAN RAFFAELE HOSPITAL,,SAMN32746373,SRR23086728,SRR23086723
,IRCCS SAN RAFFAELE HOSPITAL,,SAMN32746374,SRR23086717,SRR23086722
,IRCCS SAN RAFFAELE HOSPITAL,,SAMN32746375,SRR23086710,SRR23086721
,IRCCS SAN RAFFAELE HOSPITAL,,SAMN32746376,SRR23086709,SRR23086720
,IRCCS SAN RAFFAELE HOSPITAL,,SAMN32746377,SRR23086708,SRR23086719
,IRCCS SAN RAFFAELE HOSPITAL,,SAMN32746378,SRR23086707,SRR23086718
,IRCCS SAN RAFFAELE HOSPITAL,,SAMN32746379,SRR23086706,SRR23086716
,IRCCS SAN RAFFAELE HOSPITAL,,SAMN32746380,SRR23086705,SRR23086715
,IRCCS SAN RAFFAELE HOSPITAL,,SAMN32746381,SRR23086704,SRR23086714
,IRCCS SAN RAFFAELE HOSPITAL,,SAMN32746382,SRR23086727,SRR23086713
,IRCCS SAN RAFFAELE HOSPITAL,,SAMN32746383,SRR23086726,SRR23086712
,"SCHOOL OF VETERINARY MEDICINE, UNIVERSITY COLLEGE DUBLIN",,SAMN37576636,SRR26203936,SRR26203935
,IRCCS SAN RAFFAELE HOSPITAL,,SAMN32746384,SRR23086725,SRR23086711
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535130,SRR30629697,SRR30694577
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535141,SRR30629587,SRR30694576
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535142,SRR30629585,SRR30694568
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535151,SRR30629576,SRR30694567
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535316,SRR30629866,SRR30694566
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535327,SRR30629853,SRR30694565
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535361,SRR30630062,SRR30694564
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535384,SRR30629509,SRR30694563
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535408,SRR30629828,SRR30694562
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535413,SRR30629822,SRR30694561
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535534,SRR30629310,SRR30694575
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535613,SRR30629760,SRR30694574
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535676,SRR30629409,SRR30694573
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535696,SRR30629956,SRR30694572
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535704,SRR30629947,SRR30694571
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535707,SRR30629944,SRR30694570
,MINISTRY OF PUBLIC HEALTH (THAILAND),,SAMN43535709,SRR30629942,SRR30694569
,SAN RAFFAELE SCIENTIFIC INSTITUTE,,SAMN27305103,SRR18636082,SRR23035463
,RUTGERS NJMS,,SAMN28173809,SRR20082800,SRR20082799
,UMCG,,SAMN18521330,SRR14196839,SRR14196838
,UMCG,,SAMN18521339,SRR14196820,SRR14196819
,UMCG,,SAMN18521332,SRR14196835,SRR14196834
,UMCG,,SAMN18521333,SRR14196833,SRR14196832
,UMCG,,SAMN18521334,SRR14196831,SRR14196830
,UMCG,,SAMN18521335,SRR14196828,SRR14196827
,UMCG,,SAMN18521336,SRR14196826,SRR14196825
,UMCG,,SAMN18521337,SRR14196824,SRR14196823
,UMCG,,SAMN18521338,SRR14196822,SRR14196821
,STATENS SERUM INSTITUT,,SAMEA104027311,ERR1949967,ERR2724039
,STATENS SERUM INSTITUT,,SAMEA104027311,ERR1949967,ERR2724040
,STATENS SERUM INSTITUT,,SAMEA104027311,ERR2724042,ERR2724039
,STATENS SERUM INSTITUT,,SAMEA104027311,ERR2724042,ERR2724040
,EMBL-EBI,,SAMEA13188658,ERR9030348,ERR9030361
,EMBL-EBI,,SAMEA13188659,ERR9030337,ERR9030369
,EMBL-EBI,,SAMEA13188660,ERR9030251,ERR9030326
,EMBL-EBI,,SAMEA13188661,ERR9030486,ERR9030252
,EMBL-EBI,,SAMEA13188662,ERR9030356,ERR9030513
,EMBL-EBI,,SAMEA13188663,ERR9030410,ERR9030329
,EMBL-EBI,,SAMEA13188664,ERR9030273,ERR9030514
,EMBL-EBI,,SAMEA13188665,ERR9030494,ERR9030286
,EMBL-EBI,,SAMEA13188666,ERR9030338,ERR9030299
,EMBL-EBI,,SAMEA13188667,ERR9030268,ERR9030416
,EMBL-EBI,,SAMEA13188668,ERR9030442,ERR9030265
,EMBL-EBI,,SAMEA13188669,ERR9030445,ERR9030527
,EMBL-EBI,,SAMEA13188670,ERR9030411,ERR9030255
,EMBL-EBI,,SAMEA13188671,ERR9030463,ERR9030355
,EMBL-EBI,,SAMEA13188672,ERR9030380,ERR9030310
,EMBL-EBI,,SAMEA13188673,ERR9030450,ERR9030511
,EMBL-EBI,,SAMEA13188675,ERR9030436,ERR9030537
,EMBL-EBI,,SAMEA13188676,ERR9030384,ERR9030371
,EMBL-EBI,,SAMEA13188677,ERR9030492,ERR9030425
,EMBL-EBI,,SAMEA13188678,ERR9030351,ERR9030342
,EMBL-EBI,,SAMEA13188679,ERR9030473,ERR9030400
,EMBL-EBI,,SAMEA13188680,ERR9030495,ERR9030521
,EMBL-EBI,,SAMEA13188681,ERR9030357,ERR9030422
,EMBL-EBI,,SAMEA13188683,ERR9030313,ERR9030430
,EMBL-EBI,,SAMEA13188684,ERR9030460,ERR9030476
,EMBL-EBI,,SAMEA13188686,ERR9030531,ERR9030512
,EMBL-EBI,,SAMEA13188687,ERR9030295,ERR9030362
,EMBL-EBI,,SAMEA13188690,ERR9030504,ERR9030507
,EMBL-EBI,,SAMEA13188691,ERR9030308,ERR9030349
,EMBL-EBI,,SAMEA13188692,ERR9030502,ERR9030382
,EMBL-EBI,,SAMEA13188693,ERR9030288,ERR9030376
,EMBL-EBI,,SAMEA13188694,ERR9030464,ERR9030542
,EMBL-EBI,,SAMEA13188695,ERR9030396,ERR9030448
,EMBL-EBI,,SAMEA13188696,ERR9030490,ERR9030437
,EMBL-EBI,,SAMEA13188697,ERR9030401,ERR9030449
,EMBL-EBI,,SAMEA13188698,ERR9030496,ERR9030366
,EMBL-EBI,,SAMEA13188699,ERR9030500,ERR9030522
,EMBL-EBI,,SAMEA13188700,ERR9030294,ERR9030315
,EMBL-EBI,,SAMEA13188701,ERR9030352,ERR9030364
,EMBL-EBI,,SAMEA13188702,ERR9030535,ERR9030249
,EMBL-EBI,,SAMEA13188703,ERR9030298,ERR9030379
,EMBL-EBI,,SAMEA13188704,ERR9030372,ERR9030428
,EMBL-EBI,,SAMEA13188705,ERR9030297,ERR9030420
,EMBL-EBI,,SAMEA13188706,ERR9030363,ERR9030328
,EMBL-EBI,,SAMEA13188707,ERR9030399,ERR9030540
,EMBL-EBI,,SAMEA13188708,ERR9030458,ERR9030341
,EMBL-EBI,,SAMEA13188709,ERR9030347,ERR9030333
,EMBL-EBI,,SAMEA13188710,ERR9030525,ERR9030433
,EMBL-EBI,,SAMEA13188711,ERR9030443,ERR9030501
,EMBL-EBI,,SAMEA13188712,ERR9030402,ERR9030532
,EMBL-EBI,,SAMEA13188713,ERR9030293,ERR9030319
,EMBL-EBI,,SAMEA13188714,ERR9030387,ERR9030523
,EMBL-EBI,,SAMEA13188716,ERR9030529,ERR9030474
,EMBL-EBI,,SAMEA13188717,ERR9030483,ERR9030325
,EMBL-EBI,,SAMEA13188718,ERR9030289,ERR9030419
,EMBL-EBI,,SAMEA13188719,ERR9030451,ERR9030254
,EMBL-EBI,,SAMEA13188720,ERR9030385,ERR9030438
,EMBL-EBI,,SAMEA13188721,ERR9030353,ERR9030418
,EMBL-EBI,,SAMEA13188722,ERR9030256,ERR9030429
,EMBL-EBI,,SAMEA13188723,ERR9030305,ERR9030427
,EMBL-EBI,,SAMEA13188724,ERR9030528,ERR9030344
,EMBL-EBI,,SAMEA13188725,ERR9030456,ERR9030478
,EMBL-EBI,,SAMEA13188726,ERR9030491,ERR9030475
,EMBL-EBI,,SAMEA13188727,ERR9030303,ERR9030469
,EMBL-EBI,,SAMEA13188728,ERR9030510,ERR9030432
,EMBL-EBI,,SAMEA13188729,ERR9030263,ERR9030412
,EMBL-EBI,,SAMEA13188730,ERR9030446,ERR9030345
,EMBL-EBI,,SAMEA13188732,ERR9030390,ERR9030434
,EMBL-EBI,,SAMEA13188733,ERR9030480,ERR9030278
,EMBL-EBI,,SAMEA13188734,ERR9030406,ERR9030365
,EMBL-EBI,,SAMEA13188735,ERR9030307,ERR9030481
,EMBL-EBI,,SAMEA13188736,ERR9030487,ERR9030477
,EMBL-EBI,,SAMEA13188737,ERR9030269,ERR9030452
,EMBL-EBI,,SAMEA13188738,ERR9030455,ERR9030421
,EMBL-EBI,,SAMEA13188739,ERR9030453,ERR9030314
,EMBL-EBI,,SAMEA13188740,ERR9030302,ERR9030403
,EMBL-EBI,,SAMEA13188741,ERR9030484,ERR9030330
,EMBL-EBI,,SAMEA13188742,ERR9030395,ERR9030439
,EMBL-EBI,,SAMEA13188743,ERR9030291,ERR9030536
,EMBL-EBI,,SAMEA13188744,ERR9030534,ERR9030367
,EMBL-EBI,,SAMEA13188745,ERR9030300,ERR9030311
,EMBL-EBI,,SAMEA13188746,ERR9030274,ERR9030397
,EMBL-EBI,,SAMEA13188747,ERR9030413,ERR9030466
,EMBL-EBI,,SAMEA13188748,ERR9030392,ERR9030435
,EMBL-EBI,,SAMEA13188751,ERR9030526,ERR9030336
,EMBL-EBI,,SAMEA13188752,ERR9030393,ERR9030327
,EMBL-EBI,,SAMEA13188756,ERR9030317,ERR9030386
,EMBL-EBI,,SAMEA13188757,ERR9030405,ERR9030468
,EMBL-EBI,,SAMEA13188758,ERR9030358,ERR9030488
,EMBL-EBI,,SAMEA13188759,ERR9030388,ERR9030394
,EMBL-EBI,,SAMEA13188760,ERR9030359,ERR9030467
,EMBL-EBI,,SAMEA13188763,ERR9030275,ERR9030354
,EMBL-EBI,,SAMEA13188766,ERR9030264,ERR9030284
,EMBL-EBI,,SAMEA13188769,ERR9030318,ERR9030454
,EMBL-EBI,,SAMEA13188772,ERR9030459,ERR9030509
,EMBL-EBI,,SAMEA13188774,ERR9030482,ERR9030498
,EMBL-EBI,,SAMEA13188777,ERR9030270,ERR9030283
,EMBL-EBI,,SAMEA13188778,ERR9030407,ERR9030431
,EMBL-EBI,,SAMEA13188779,ERR9030461,ERR9030462
,EMBL-EBI,,SAMEA13188780,ERR9030331,ERR9030253
,EMBL-EBI,,SAMEA13188786,ERR9030447,ERR9030471
,EMBL-EBI,,SAMEA13188787,ERR9030306,ERR9030280
,EMBL-EBI,,SAMEA13188789,ERR9030524,ERR9030415
,EMBL-EBI,,SAMEA13188790,ERR9030272,ERR9030296
,MODMEDMICRO,,SAMEA5228844,ERR3077901,ERR3078032
,MODMEDMICRO,,SAMEA5228845,ERR3077902,ERR3078033
,MODMEDMICRO,,SAMEA5228846,ERR3077903,ERR3078034
,MODMEDMICRO,,SAMEA5228847,ERR3077904,ERR3078035
,MODMEDMICRO,,SAMEA5228848,ERR3077905,ERR3078036
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453988,SRR29081004,SRR29081082
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453989,SRR29081003,SRR29081081
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453990,SRR29081002,SRR29081080
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453991,SRR29081001,SRR29081079
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453992,SRR29081000,SRR29081078
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453993,SRR29080999,SRR29081077
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453994,SRR29080998,SRR29081076
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453995,SRR29080997,SRR29081075
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453996,SRR29080995,SRR29081073
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453997,SRR29080994,SRR29081072
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453998,SRR29080993,SRR29081071
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41453999,SRR29080992,SRR29081070
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454000,SRR29080991,SRR29081069
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454001,SRR29080990,SRR29081068
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454002,SRR29080989,SRR29081067
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454003,SRR29080988,SRR29081066
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454004,SRR29080987,SRR29081065
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454005,SRR29080986,SRR29081064
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454006,SRR29080984,SRR29081062
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454007,SRR29080983,SRR29081061
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454008,SRR29080982,SRR29081060
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454009,SRR29080981,SRR29081059
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454010,SRR29080980,SRR29081058
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454011,SRR29080979,SRR29081057
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454012,SRR29080978,SRR29081056
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454013,SRR29080977,SRR29081055
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454014,SRR29080976,SRR29081054
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454015,SRR29080975,SRR29081053
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454016,SRR29081010,SRR29081051
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454017,SRR29081009,SRR29081050
,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,SAMN41454018,SRR29081008,SRR29081049
,THE UNIVERSITY OF MELBOURNE,,SAMN40453083,SRR28370698,SRR28370672
,THE UNIVERSITY OF MELBOURNE,,SAMN40453083,SRR28370698,SRR28370678
