ILLUMINA_BioSample,CenterName,ONT_BioSample,BioSample,ILLUMINA_Run,ONT_Run
SAMN27764285,WADSWORTH CENTER,SAMN15703271,,,
SAMN27764286,WADSWORTH CENTER,SAMN15703272,,,
SAMN27764288,WADSWORTH CENTER,SAMN15703274,,,
SAMN27764180,WADSWORTH CENTER,SAMN15703228,,,
SAMN27764182,WADSWORTH CENTER,SAMN15703230,,,
SAMN27764275,WADSWORTH CENTER,SAMN15703261,,,
SAMN27764276,WADSWORTH CENTER,SAMN15703262,,,
SAMN27764175,WADSWORTH CENTER,SAMN15703223,,,
SAMN27764176,WADSWORTH CENTER,SAMN15703224,,,
SAMN27764178,WADSWORTH CENTER,SAMN15703226,,,
SAMN27764179,WADSWORTH CENTER,SAMN15703227,,,
SAMN27764188,WADSWORTH CENTER,SAMN15703236,,,
SAMN27764190,WADSWORTH CENTER,SAMN15703238,,,
SAMN27764192,WADSWORTH CENTER,SAMN15703240,,,
SAMN27764183,WADSWORTH CENTER,SAMN15703231,,,
SAMN27764184,WADSWORTH CENTER,SAMN15703232,,,
SAMN27764185,WADSWORTH CENTER,SAMN15703233,,,
SAMN27764186,WADSWORTH CENTER,SAMN15703234,,,
SAMN27764187,WADSWORTH CENTER,SAMN15703235,,,
SAMN27763797,WADSWORTH CENTER,SAMN15703208,,,
SAMN27763798,WADSWORTH CENTER,SAMN15703209,,,
SAMN27763799,WADSWORTH CENTER,SAMN15703210,,,
SAMN27764173,WADSWORTH CENTER,SAMN15703221,,,
SAMN27764174,WADSWORTH CENTER,SAMN15703222,,,
SAMN27763792,WADSWORTH CENTER,SAMN15703203,,,
SAMN27763793,WADSWORTH CENTER,SAMN15703204,,,
SAMN27763794,WADSWORTH CENTER,SAMN15703205,,,
SAMN27763795,WADSWORTH CENTER,SAMN15703206,,,
SAMN27763805,WADSWORTH CENTER,SAMN15703216,,,
SAMN27763806,WADSWORTH CENTER,SAMN15703217,,,
SAMN27763807,WADSWORTH CENTER,SAMN15703218,,,
SAMN27763800,WADSWORTH CENTER,SAMN15703211,,,
SAMN27763801,WADSWORTH CENTER,SAMN15703212,,,
SAMN27763804,WADSWORTH CENTER,SAMN15703215,,,
SAMN27763627,WADSWORTH CENTER,SAMN15703026,,,
SAMN27763628,WADSWORTH CENTER,SAMN15703027,,,
SAMN27763629,WADSWORTH CENTER,SAMN15703028,,,
SAMN27763622,WADSWORTH CENTER,SAMN15703020,,,
SAMN27763625,WADSWORTH CENTER,SAMN15703023,,,
SAMN27763626,WADSWORTH CENTER,SAMN15703024,,,
SAMN27763634,WADSWORTH CENTER,SAMN15703035,,,
SAMN27763636,WADSWORTH CENTER,SAMN15703038,,,
SAMN27763637,WADSWORTH CENTER,SAMN15703039,,,
SAMN27763621,WADSWORTH CENTER,SAMN15703019,,,
SAMN27763630,WADSWORTH CENTER,SAMN15703029,,,
SAMN27763631,WADSWORTH CENTER,SAMN15703031,,,
SAMN27763632,WADSWORTH CENTER,SAMN15703033,,,
SAMN27763633,WADSWORTH CENTER,SAMN15703034,,,
SAMN27763138,WADSWORTH CENTER,SAMN15703187,,,
SAMN27763139,WADSWORTH CENTER,SAMN15703188,,,
SAMN27763140,WADSWORTH CENTER,SAMN15703189,,,
SAMN27763141,WADSWORTH CENTER,SAMN15703190,,,
SAMN27763620,WADSWORTH CENTER,SAMN15703018,,,
SAMN27763134,WADSWORTH CENTER,SAMN15703183,,,
SAMN27763135,WADSWORTH CENTER,SAMN15703184,,,
SAMN27763137,WADSWORTH CENTER,SAMN15703186,,,
SAMN27763146,WADSWORTH CENTER,SAMN15703195,,,
SAMN27763148,WADSWORTH CENTER,SAMN15703197,,,
SAMN27763149,WADSWORTH CENTER,SAMN15703198,,,
SAMN27763150,WADSWORTH CENTER,SAMN15703199,,,
SAMN27763133,WADSWORTH CENTER,SAMN15703182,,,
